,0
38,"['teenage', 'anything', 'take', 'money', 'buy', 'season', 'ticket', 'local', 'team']"
39,"['notorious', 'writer', 'marquis', 'eighteenth', 'century', 'france', 'jail', 'charenton', 'mad', 'refuge', 'unmentionable', 'care', 'befriend', 'young', 'abbé', 'coulmier', 'beautiful', 'laundress', 'make', 'madeline', 'get', 'wrong', 'abbe', 'write', 'emperor', 'napoleon', 'contemplate', 'air', 'dr', 'royer', 'collard', 'manage', 'world', 'renowned', 'torturous', 'base', 'end']"
40,"['comedy', 'separate', 'taste', 'dirty', 'small', 'story', 'set', 'england', 'earl', 'marshwood', 'atterton', 'romance', 'hollywood', 'lead', 'miranda', 'frayle', 'jeanne', 'upset', 'mother', 'look', 'happiness', 'dame', 'julie', 'andrews', 'old', 'boyfriend', 'lucas', 'william', 'baldwin', 'good', 'date', 'party', 'take', 'moxton', 'moxie', 'sophie', 'thompson', 'personal', 'maid', 'best', 'friend', 'estrange', 'sister', 'frederick', 'crestwell', 'stephen', 'kid', 'butler', 'prepare', 'plan', 'thrill', 'arrival', 'try', 'talk', 'case', 'chaos', 'give', 'light']"
41,"['june', 'napoleon', 'bonaparte', 'surround', 'meet', 'classic', 'part', 'story', 'spend', 'whole', 'life', 'make', 'mystique', 'get', 'synonymous', 'decision', 'force', 'secret', 'super', 'leader', 'trip', 'cant', 'base', 'le', 'maréchal', 'hugo', 'armani', 'dream', 'emulate', 'world', 'god', 'emperor', 'struggle', 'waterloo', 'second', 'border', 'psychotic', 'attempt', 'start', 'face', 'napoleonic', 'delirium', 'modern', 'psychiatry', 'due', 'shortage', 'take', 'choice', 'give', 'control', 'unbalance', 'push', 'france']"
42,"['widow', 'mortgage', 'everything', 'ready', 'face', 'impend', 'sentence', 'small', 'turn', 'knowledge', 'power', 'get', 'struggle', 'save', 'family', 'embark', 'gardener', 'take', 'marijuana', 'hide', 'position', 'intimate', 'use', 'park', 'home', 'help', 'deal', 'money', 'want', 'married', 'capital', 'doesnt', 'love', 'daughter', 'friend', 'pregnant', 'tear', 'whole', 'village', 'aware', 'try', 'hope', 'success', 'grace', 'crop', 'london', 'ruthless', 'charm', 'drug', 'dealer', 'light']"
43,"['gal', 'deedee', 'aitch', 'jackie', 'give', 'various', 'ill', 'reputation', 'enjoy', 'sun', 'spain', 'essential', 'mark', 'leisure', 'hazy', 'yarn', 'beer', 'botch', 'run', 'take', 'sudden', 'unforeseen', 'break', 'emerge', 'past', 'embark', 'childishly', 'wild', 'edgy', 'logan', 'series', 'face', 'tear', 'irrevocable', 'retire', 'turn', 'force', 'excite', 'rust', 'last', 'mission', 'order', 'threaten', 'ex', 'mentor', 'heist', 'legendary', 'balance', 'personal', 'job', 'hell', 'encore']"
44,"['mcleod', 'director', 'second', 'level', 'scottish', 'football', 'team', 'face', 'pressure', 'american', 'owner', 'force', 'get', 'marquee', 'player', 'better', 'go', 'fast', 'town', 'century', 'way', 'struggle', 'include', 'long', 'support', 'old', 'fellow', 'shop']"
45,"['turkish', 'close', 'friendaccomplice', 'tommy', 'take', 'commit', 'world', 'meet', 'get', 'notorious', 'brick', 'top', 'complicate', 'boxer', 'job', 'mickey', 'equation', 'unlicensed', 'box', 'promoter', 'want', 'buy', 'van', 'try', 'convince', 'fight', 'lose', 'whilst', 'start', 'huge', 'diamond', 'heist', 'home', 'fistful', 'motley', 'embark', 'story', 'include', 'cousin', 'avi', 'boris', 'brand', 'bullet', 'tony', 'big', 'money', 'doomed', 'frank']"
46,"['key', 'case', 'ray', 'daniel', 'craig', 'schizophrenia', 'story', 'get', 'drop', 'psychiatric', 'hospital', 'pay', 'pete', 'david', 'morrissey', 'pick', 'new', 'home', 'free', 'way', 'favorite', 'west', 'london', 'matt', 'chef', 'turn', 'long', 'café', 'traditional', 'greasy', 'spoon', 'day', 'trendy', 'restaurant', 'eve', 'inherit', 'find', 'time', 'take', 'care', 'monitor', 'medication', 'head', 'thinking', 'start', 'young', 'world', 'return', 'macdonald', 'glaswegian', 'daughter', 'midst', 'develop', 'abusive', 'boyfriend', 'peter', 'mcdonald', 'laura', 'draw', 'spontaneity', 'simple', 'sense', 'play', 'relationship', 'mandy', 'julie', 'graham', 'resent', 'favor', 'trust', 'soothe', 'love', 'decision', 'fateful', 'break', 'business', 'suffering', 'close', 'fraction', 'term', 'end', 'film', 'lose', 'defeat', 'resentment', 'commitment', 'good', 'damage']"
47,"['jimmy', 'grimble', 'shy', 'manchester', 'school', 'son', 'tough', 'family', 'face', 'new', 'boyfriend', 'doesnt', 'football', 'special', 'realize', 'trust', 'follow', 'lead', 'team', 'last', 'local', 'cup']"
