Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,symmetric,0.01,0.43841383205752893
100% Corpus,7,symmetric,0.31,0.4077002039524255
100% Corpus,7,symmetric,0.61,0.4162275019658003
100% Corpus,7,symmetric,0.9099999999999999,0.4522973644282061
100% Corpus,7,symmetric,symmetric,0.4109884536784481
100% Corpus,7,asymmetric,0.01,0.4774736301639374
100% Corpus,7,asymmetric,0.31,0.4584701543504032
100% Corpus,7,asymmetric,0.61,0.45047877403947456
100% Corpus,7,asymmetric,0.9099999999999999,0.4580639269747217
100% Corpus,7,asymmetric,symmetric,0.4773440708144284
100% Corpus,8,0.01,0.01,0.4353517263063536
100% Corpus,8,0.01,0.31,0.4445570130265457
100% Corpus,8,0.01,0.61,0.4441588840343387
100% Corpus,8,0.01,0.9099999999999999,0.45887234830980517
100% Corpus,8,0.01,symmetric,0.44621649789793494
100% Corpus,8,0.31,0.01,0.4470661950415651
100% Corpus,8,0.31,0.31,0.4735036481022057
100% Corpus,8,0.31,0.61,0.4716255940362329
100% Corpus,8,0.31,0.9099999999999999,0.4796648065791186
100% Corpus,8,0.31,symmetric,0.4421445004637645
100% Corpus,8,0.61,0.01,0.44612917017373166
100% Corpus,8,0.61,0.31,0.4559220037767642
100% Corpus,8,0.61,0.61,0.47238499036957377
100% Corpus,8,0.61,0.9099999999999999,0.4732285930071092
100% Corpus,8,0.61,symmetric,0.45646897244693574
100% Corpus,8,0.9099999999999999,0.01,0.46518099756262055
100% Corpus,8,0.9099999999999999,0.31,0.4745429096418664
100% Corpus,8,0.9099999999999999,0.61,0.47255872847355557
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.48220639099551676
100% Corpus,8,0.9099999999999999,symmetric,0.47030079160819865
100% Corpus,8,symmetric,0.01,0.4349791904406214
100% Corpus,8,symmetric,0.31,0.44754015321074636
100% Corpus,8,symmetric,0.61,0.4507237310382553
100% Corpus,8,symmetric,0.9099999999999999,0.4722056167778549
100% Corpus,8,symmetric,symmetric,0.438392193051658
100% Corpus,8,asymmetric,0.01,0.43121537215793077
100% Corpus,8,asymmetric,0.31,0.40963055274556903
100% Corpus,8,asymmetric,0.61,0.45740854773488954
100% Corpus,8,asymmetric,0.9099999999999999,0.4539640833433251
100% Corpus,8,asymmetric,symmetric,0.43315421131958565
100% Corpus,9,0.01,0.01,0.42520734416062717
100% Corpus,9,0.01,0.31,0.43367363917295393
100% Corpus,9,0.01,0.61,0.42576025693786207
100% Corpus,9,0.01,0.9099999999999999,0.4441643140848071
100% Corpus,9,0.01,symmetric,0.4121346758070923
100% Corpus,9,0.31,0.01,0.4216574161190897
100% Corpus,9,0.31,0.31,0.43410730682343146
100% Corpus,9,0.31,0.61,0.4502326086672325
100% Corpus,9,0.31,0.9099999999999999,0.4584511014082932
100% Corpus,9,0.31,symmetric,0.42879949108078086
100% Corpus,9,0.61,0.01,0.45496598439673164
100% Corpus,9,0.61,0.31,0.44770827371257227
100% Corpus,9,0.61,0.61,0.4562100952274043
100% Corpus,9,0.61,0.9099999999999999,0.4520193301718197
